age_AD,trsgiFir,trsgiThl,trsgiCop,tempanom-JA,tempanom-JAerr+,tempanom-JAerr-
1073,1.009,NaN,NaN,-0.51,0.15,-1.17
1074,0.932,NaN,NaN,-0.49,0.17,-1.15
1075,0.963,NaN,NaN,-0.46,0.21,-1.12
1076,0.972,NaN,NaN,-0.41,0.25,-1.07
1077,0.987,NaN,NaN,-0.35,0.31,-1.02
1078,0.995,NaN,NaN,-0.28,0.38,-0.95
1079,1.041,NaN,NaN,-0.21,0.46,-0.87
1080,1.027,NaN,NaN,-0.12,0.54,-0.78
1081,1.044,NaN,NaN,-0.03,0.63,-0.7
1082,1.085,NaN,NaN,0.06,0.72,-0.61
1083,1.071,NaN,NaN,0.14,0.81,-0.52
1084,1.037,NaN,NaN,0.22,0.88,-0.44
1085,1.028,NaN,NaN,0.29,0.95,-0.37
1086,1.084,NaN,NaN,0.35,1.01,-0.32
1087,1.114,NaN,NaN,0.39,1.05,-0.28
1088,1.089,NaN,NaN,0.41,1.07,-0.26
1089,1.074,NaN,NaN,0.41,1.07,-0.26
1090,1.075,NaN,NaN,0.38,1.05,-0.28
1091,1.112,NaN,NaN,0.34,1,-0.32
1092,1.091,NaN,NaN,0.27,0.93,-0.39
1093,1.077,NaN,NaN,0.18,0.85,-0.48
1094,1.105,NaN,NaN,0.08,0.74,-0.59
1095,1.017,NaN,NaN,-0.05,0.62,-0.71
1096,1.143,NaN,NaN,-0.18,0.48,-0.85
1097,0.996,NaN,NaN,-0.33,0.33,-0.99
1098,1.015,NaN,NaN,-0.49,0.18,-1.15
1099,0.91,NaN,NaN,-0.64,0.02,-1.31
1100,1.02,NaN,NaN,-0.8,-0.14,-1.46
1101,0.979,NaN,NaN,-0.96,-0.29,-1.62
1102,0.979,NaN,NaN,-1.1,-0.44,-1.77
1103,0.926,NaN,NaN,-1.24,-0.58,-1.91
1104,0.965,NaN,NaN,-1.37,-0.71,-2.04
1105,0.945,NaN,NaN,-1.49,-0.83,-2.15
1106,1.015,NaN,NaN,-1.59,-0.93,-2.26
1107,0.988,NaN,NaN,-1.68,-1.02,-2.35
1108,0.961,NaN,NaN,-1.76,-1.1,-2.42
1109,0.857,NaN,NaN,-1.82,-1.16,-2.49
1110,0.925,NaN,NaN,-1.87,-1.21,-2.54
1111,0.885,NaN,NaN,-1.91,-1.24,-2.57
1112,0.971,NaN,NaN,-1.93,-1.27,-2.6
1113,0.884,NaN,NaN,-1.95,-1.28,-2.61
1114,0.991,NaN,NaN,-1.95,-1.29,-2.62
1115,0.954,NaN,NaN,-1.95,-1.29,-2.61
1116,0.978,NaN,NaN,-1.94,-1.28,-2.6
1117,1.031,NaN,NaN,-1.92,-1.26,-2.58
1118,0.937,NaN,NaN,-1.9,-1.23,-2.56
1119,0.99,NaN,NaN,-1.87,-1.2,-2.53
1120,0.864,NaN,NaN,-1.83,-1.17,-2.49
1121,0.861,NaN,NaN,-1.79,-1.13,-2.46
1122,0.941,NaN,NaN,-1.75,-1.08,-2.41
1123,0.993,NaN,NaN,-1.7,-1.04,-2.36
1124,0.982,NaN,NaN,-1.65,-0.99,-2.32
1125,1.069,NaN,NaN,-1.61,-0.94,-2.27
1126,0.9,NaN,NaN,-1.56,-0.89,-2.22
1127,0.88,NaN,NaN,-1.51,-0.85,-2.18
1128,0.999,NaN,NaN,-1.47,-0.81,-2.14
1129,1.056,NaN,NaN,-1.44,-0.78,-2.1
1130,0.842,NaN,NaN,-1.41,-0.75,-2.08
1131,1.125,NaN,NaN,-1.39,-0.73,-2.06
1132,0.965,NaN,NaN,-1.38,-0.72,-2.04
1133,1.119,NaN,NaN,-1.38,-0.72,-2.04
1134,0.971,NaN,NaN,-1.39,-0.73,-2.05
1135,0.884,NaN,NaN,-1.4,-0.74,-2.07
1136,1.063,NaN,NaN,-1.43,-0.76,-2.09
1137,0.902,NaN,NaN,-1.46,-0.79,-2.12
1138,1.018,NaN,NaN,-1.49,-0.83,-2.15
1139,0.943,NaN,NaN,-1.53,-0.86,-2.19
1140,0.948,NaN,NaN,-1.56,-0.9,-2.23
1141,0.985,NaN,NaN,-1.6,-0.94,-2.26
1142,0.995,NaN,NaN,-1.63,-0.97,-2.29
1143,0.875,NaN,NaN,-1.66,-0.99,-2.32
1144,1.032,NaN,NaN,-1.68,-1.02,-2.34
1145,0.838,NaN,NaN,-1.69,-1.03,-2.36
1146,0.93,NaN,NaN,-1.7,-1.04,-2.36
1147,1.045,NaN,NaN,-1.7,-1.04,-2.36
1148,0.982,NaN,NaN,-1.69,-1.03,-2.35
1149,0.945,NaN,NaN,-1.67,-1.01,-2.34
1150,0.932,NaN,NaN,-1.65,-0.98,-2.31
1151,1.095,NaN,NaN,-1.61,-0.95,-2.27
1152,0.745,NaN,NaN,-1.57,-0.9,-2.23
1153,0.951,NaN,NaN,-1.52,-0.85,-2.18
1154,0.92,NaN,NaN,-1.46,-0.8,-2.12
1155,1,NaN,NaN,-1.4,-0.73,-2.06
1156,1.075,NaN,NaN,-1.33,-0.66,-1.99
1157,1.123,NaN,NaN,-1.25,-0.59,-1.91
1158,0.928,NaN,NaN,-1.17,-0.51,-1.84
1159,0.96,NaN,NaN,-1.09,-0.43,-1.75
1160,0.93,NaN,NaN,-1,-0.34,-1.67
1161,0.879,NaN,NaN,-0.92,-0.25,-1.58
1162,1.069,NaN,NaN,-0.83,-0.17,-1.49
1163,0.952,NaN,NaN,-0.74,-0.08,-1.41
1164,1.06,NaN,NaN,-0.66,0,-1.32
1165,1.038,NaN,NaN,-0.58,0.09,-1.24
1166,1.037,NaN,NaN,-0.5,0.16,-1.16
1167,1.043,NaN,NaN,-0.43,0.23,-1.09
1168,1.054,NaN,NaN,-0.36,0.3,-1.03
1169,0.993,NaN,NaN,-0.3,0.36,-0.97
1170,1.101,NaN,NaN,-0.25,0.41,-0.92
1171,1.016,NaN,NaN,-0.21,0.45,-0.87
1172,1.043,NaN,NaN,-0.17,0.49,-0.84
1173,1.014,NaN,NaN,-0.14,0.52,-0.81
1174,1.035,NaN,NaN,-0.12,0.54,-0.78
1175,1.056,NaN,NaN,-0.1,0.56,-0.77
1176,1.032,NaN,NaN,-0.09,0.57,-0.76
1177,1.067,NaN,NaN,-0.09,0.57,-0.75
1178,1.067,NaN,NaN,-0.09,0.57,-0.75
1179,0.985,NaN,NaN,-0.09,0.57,-0.76
1180,0.949,NaN,NaN,-0.11,0.56,-0.77
1181,1.007,NaN,NaN,-0.12,0.54,-0.79
1182,1.08,NaN,NaN,-0.15,0.51,-0.81
1183,1.121,NaN,NaN,-0.18,0.48,-0.85
1184,1.006,NaN,NaN,-0.22,0.44,-0.89
1185,1.096,NaN,NaN,-0.27,0.39,-0.93
