D'Arrigo et al. 2006 STD and RCS reconstructions of Northern Hemisphere,,,
"annual temperatures, plus Northern Hemisphere land-only extratropical (20-90N)",,,
"instrumental temperature data, expressed as anomalies in degrees Celsius ",,,
from the 1961-1990AD mean.,,,
,,,
,,,
Year AD,NH Land20-90,STD recon,RCS recon
713,,-0.64,-0.85
714,,-0.58,-0.8
715,,-0.42,-0.57
716,,-0.73,-1.08
717,,-0.91,-1.24
718,,-0.76,-1.07
719,,-0.67,-1.04
720,,-0.85,-1.13
721,,-0.57,-0.73
722,,-0.67,-0.89
723,,-0.5,-0.71
724,,-0.69,-0.87
725,,-0.25,-0.37
726,,-0.24,-0.43
727,,-0.24,-0.65
728,,-0.4,-0.52
729,,-0.59,-0.71
730,,-0.39,-0.4
731,,-0.32,-0.21
732,,-0.4,-0.42
733,,-0.43,-0.44
734,,-0.44,-0.66
735,,-0.57,-0.66
736,,-0.59,-0.84
737,,-0.89,-1.21
738,,-0.84,-1.17
739,,-0.8,-1.16
740,,-0.67,-0.99
741,,-0.39,-0.57
742,,-0.47,-0.73
743,,-0.19,-0.27
744,,-0.3,-0.28
745,,-0.5,-0.62
746,,-0.47,-0.55
747,,-0.54,-0.74
748,,-0.78,-1
749,,-0.42,-0.72
750,,-0.28,-0.46
751,,-0.11,-0.28
752,,-0.08,-0.3
753,,-0.04,-0.39
754,,-0.35,-0.51
755,,-0.45,-0.61
756,,-0.65,-0.86
757,,-0.65,-0.79
758,,-0.46,-0.59
759,,-0.25,-0.37
760,,-0.45,-0.68
761,,-0.31,-0.51
762,,-0.31,-0.41
763,,-0.02,-0.12
764,,-0.21,-0.24
765,,-0.15,-0.24
766,,-0.44,-0.71
767,,-0.47,-0.71
768,,-0.33,-0.52
769,,-0.65,-0.88
770,,-0.61,-0.77
771,,-0.46,-0.62
772,,-0.45,-0.58
773,,-0.6,-0.77
774,,-0.43,-0.67
775,,-0.28,-0.52
776,,-0.32,-0.53
777,,-0.39,-0.75
778,,-0.4,-0.59
779,,-0.38,-0.62
780,,-0.68,-0.95
781,,-0.55,-0.86
782,,-0.58,-0.85
783,,-0.7,-0.94
784,,-0.66,-0.87
785,,-0.51,-0.61
786,,-0.15,-0.24
787,,-0.23,-0.36
788,,-0.23,-0.42
789,,-0.28,-0.53
790,,0.05,-0.15
791,,-0.21,-0.5
792,,-0.05,-0.26
793,,-0.23,-0.41
794,,-0.37,-0.58
795,,-0.55,-0.77
796,,-0.42,-0.64
797,,-0.47,-0.62
798,,-0.37,-0.54
799,,-0.39,-0.62
800,,-0.51,-0.81
801,,-0.41,-0.64
802,,-0.63,-0.9
803,,-0.72,-0.86
804,,-0.79,-1.05
805,,-0.72,-0.89
806,,-0.54,-0.69
807,,-0.57,-0.75
808,,-0.17,-0.44
809,,-0.39,-0.73
810,,-0.54,-0.79
811,,-0.17,-0.29
812,,-0.54,-0.75
813,,-0.28,-0.5
814,,-0.52,-0.88
815,,-0.56,-0.89
816,,-0.58,-0.9
817,,-0.39,-0.71
818,,-0.44,-0.74
819,,-0.2,-0.42
820,,-0.21,-0.43
821,,-0.28,-0.42
822,,0,-0.27
823,,-0.33,-0.54
824,,-0.7,-0.96
825,,-0.53,-0.83
826,,-0.61,-0.98
827,,-0.73,-1
828,,-0.66,-0.94
829,,-0.59,-0.86
830,,-0.44,-0.61
831,,-0.38,-0.66
832,,-0.32,-0.64
833,,0.05,-0.15
834,,-0.23,-0.5
835,,-0.66,-0.92
836,,-0.56,-0.73
837,,-0.55,-0.71
838,,-0.67,-0.86
839,,-0.64,-0.91
840,,-0.3,-0.54
841,,-0.06,-0.31
842,,0.01,-0.24
843,,-0.21,-0.41
844,,0.01,-0.17
845,,-0.23,-0.48
846,,-0.22,-0.44
847,,-0.29,-0.5
848,,-0.26,-0.42
849,,-0.36,-0.55
850,,-0.26,-0.47
851,,-0.85,-1.06
852,,-0.81,-1.06
853,,-0.67,-0.86
854,,-0.89,-1.27
855,,-0.67,-0.96
856,,-0.74,-1.03
857,,-0.27,-0.44
858,,-0.48,-0.69
859,,-0.43,-0.63
860,,-0.48,-0.68
861,,-0.46,-0.66
862,,-0.44,-0.66
863,,-0.69,-0.97
864,,-0.8,-1.06
865,,-0.74,-0.95
866,,-0.63,-0.84
867,,-0.56,-0.75
868,,-0.4,-0.65
869,,-0.36,-0.63
870,,-0.56,-0.88
871,,-0.4,-0.6
872,,-0.25,-0.45
873,,-0.16,-0.35
874,,-0.12,-0.27
875,,-0.33,-0.56
876,,-0.32,-0.54
877,,-0.21,-0.4
878,,-0.2,-0.42
879,,-0.28,-0.62
880,,-0.05,-0.32
881,,-0.06,-0.33
882,,-0.01,-0.16
883,,-0.14,-0.44
884,,-0.36,-0.64
885,,-0.05,-0.27
886,,-0.12,-0.31
887,,-0.3,-0.57
888,,-0.52,-0.77
889,,-0.57,-0.85
890,,-0.36,-0.64
891,,-0.35,-0.7
892,,-0.1,-0.43
893,,-0.25,-0.42
894,,0.21,0.03
895,,0.28,0.14
896,,-0.24,-0.51
897,,-0.43,-0.65
898,,-0.36,-0.51
899,,-0.06,-0.28
900,,-0.46,-0.71
901,,-0.49,-0.78
902,,-0.47,-0.64
903,,-0.79,-1.06
904,,-0.57,-0.8
905,,-0.57,-0.74
906,,-0.66,-0.86
907,,-0.63,-0.77
908,,-0.58,-0.85
909,,-0.64,-0.9
910,,-0.58,-0.82
911,,-0.64,-0.85
912,,-0.47,-0.75
913,,-0.42,-0.7
914,,-0.28,-0.54
915,,-0.36,-0.62
916,,-0.54,-0.89
917,,-0.3,-0.69
918,,-0.38,-0.61
919,,-0.25,-0.46
920,,-0.37,-0.56
921,,-0.46,-0.68
922,,-0.44,-0.6
923,,-0.31,-0.47
924,,-0.33,-0.45
925,,-0.43,-0.57
926,,-0.4,-0.54
927,,-0.19,-0.25
928,,-0.3,-0.35
929,,-0.12,-0.21
930,,-0.32,-0.47
931,,-0.2,-0.32
932,,-0.27,-0.49
933,,-0.34,-0.46
