# Northern Hemisphere Extratropics 1400 Year MXD Summer Temperature Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/18875 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/schneider2015temp.txt
#
# Original_Source_URL:
#
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#--------------------
# Contribution_Date
#	Date: 2015-06-12
#--------------------
# Title
#	Study_Name: Northern Hemisphere Extratropics 1400 Year MXD Summer Temperature Reconstruction
#--------------------
# Investigators
#       Investigators: Schneider, L.; Smerdon, J.E.; Buntgen, U.; Wilson, R.J.S.; Myglan, V.S.; Kirdyanov, A.V.; Esper, J.
#--------------------
# Description_Note_and_Keywords
#	Description: 
#	Annually resolved summer temperature reconstruction for the northern hemisphere midlatitudes.
#	The 15 proxy records are maximum-latewood-density chronologies with a minimum length of 600 years and a significant local summer temperature signal.
#	The proxy composite is scaled against June-August temperatures from the CRUTEM4v network (30-90N). 
#	Error estimates include calibration and reconstruction uncertainties as detailed in the corresponding publication.
#
#--------------------
# Publication
#       Authors: Lea Schneider, Jason E. Smerdon, Ulf Buntgen, Rob J.S. Wilson, Vladimir S. Myglan, Alexander V. Kirdyanov, and Jan Esper 
#       Published_Date_or_Year: 2015-06-03   
#       Published_Title: Revising midlatitude summer temperatures back to A.D.600 based on a wood density network
#       Journal_Name: Geophysical Research Letters
#       Volume: 
#       DOI: 10.1002/2015GL063956
#       Online_Resource: http://onlinelibrary.wiley.com/wol1/doi/10.1002/2015GL063956/full
#       Abstract: Annually resolved and millennium-long reconstructions of large-scale temperature variability are primarily composed of tree ring width (TRW) chronologies. Changes in ring width, however, have recently been shown to bias the ratio between low- and high-frequency signals. To overcome limitations in capturing the full spectrum of past temperature variability, we present a network of 15 maximum latewood density (MXD) chronologies distributed across the Northern Hemisphere extratropics. Independent subsets of continental-scale records consistently reveal high MXD before 1580 and after 1910, with below average values between these periods. Reconstructed extratropical summer temperatures reflect not only these long-term trends but also distinct cooling pulses after large volcanic eruptions. In contrast to TRW-dominated reconstructions, this MXD-based record indicates a delayed onset of the Little Ice Age by almost two centuries. The reduced memory inherent in MXD is likely responsible for the rapid recovery from volcanic-induced cooling in the fourteenth century and the continuation of warmer temperatures until ~1600.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Mainz Geocycles Research Centre
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Northern Hemisphere extratropical landmass
#	Location: Geographic Region>Northern Hemisphere
#	Country:  
#	Northernmost_Latitude: 90.00
# 	Southernmost_Latitude: 30.00
# 	Easternmost_Longitude: 180.00
# 	Westernmost_Longitude: -180.00
#	Elevation: m  
#------------------
# Data_Collection  
#	Collection_Name: Schneider2015NHtemp
#	Earliest_Year: 600
#	Most_Recent_Year: 2002
#	Time_Unit: AD
#	Notes: 
#           This data collection includes two parts: 
#	(1) the temperature-reconstruction with error-estimates and instrumental target (as displayed in Fig. 3 of the corresponding publication) and 
#	(2) the RCS-detrended MXD-chronologies from the 15 sites specified in the supplementary information of the corresponding publication
#
#------------------
# Chronology: 
#
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
## age_AD	age, , ,years AD, , , , ,N
## tempanom-JJA	surface temperature anomaly, , ,deg C,JJA, , ,CPS,N
## tempanom-JJA-	surface temperature anomaly error-, , ,deg C,JJA, , ,CPS,N 
## tempanom-JJA+	surface temperature anomaly error+, , ,deg C,JJA, , ,CPS,N 
## tempanom-JJAtarg	surface temperature anomaly target instrumental, , ,deg C,JJA, , ,CRUTEM4vadj,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
#
age_AD	tempanom-JJA	tempanom-JJA-	tempanom-JJA+	tempanom-JJAtarg
600	-0.292	-0.915	0.178	
601	-0.188	-0.748	0.264	
602	0.026	-0.477	0.462	
603	-0.426	-1.050	0.059	
604	-0.020	-0.557	0.449	
605	-0.280	-0.896	0.188	
606	-0.107	-0.652	0.355	
607	-0.412	-1.039	0.070	
608	-0.278	-0.843	0.184	
609	-0.408	-1.057	0.066	
610	-0.002	-0.470	0.445	
611	-0.087	-0.630	0.360	
612	0.151	-0.289	0.585	
613	-0.103	-0.622	0.346	
614	-0.323	-0.935	0.140	
615	-0.182	-0.752	0.264	
616	0.170	-0.278	0.604	
617	-0.364	-0.970	0.112	
618	-0.195	-0.729	0.262	
619	-0.259	-0.852	0.197	
620	0.054	-0.411	0.490	
621	-0.244	-0.825	0.209	
622	-0.171	-0.735	0.283	
623	-0.082	-0.636	0.379	
624	-0.354	-0.990	0.111	
625	0.149	-0.302	0.587	
626	-0.216	-0.762	0.240	
627	-0.774	-1.545	-0.243	
628	-0.466	-1.175	0.043	
629	-0.007	-0.494	0.441	
630	0.077	-0.405	0.514	
631	-0.167	-0.709	0.284	
632	-0.148	-0.714	0.308	
633	0.242	-0.220	0.676	
634	0.141	-0.299	0.576	
635	-0.271	-0.876	0.183	
636	-0.262	-0.864	0.191	
637	-0.159	-0.732	0.306	
638	-0.215	-0.809	0.248	
639	-0.513	-1.184	-0.020	
640	-0.193	-0.761	0.254	
641	-0.077	-0.596	0.369	
642	-0.363	-0.977	0.108	
643	-0.342	-0.958	0.126	
644	-0.298	-0.885	0.167	
645	-0.121	-0.700	0.362	
646	-0.205	-0.755	0.249	
647	-0.475	-1.114	0.018	
648	-0.475	-1.159	0.010	
649	-0.091	-0.637	0.361	
650	-0.115	-0.655	0.333	
651	-0.349	-0.960	0.123	
652	0.033	-0.467	0.469	
653	-0.220	-0.811	0.232	
654	-0.255	-0.871	0.207	
655	-0.370	-0.980	0.104	
656	-0.185	-0.782	0.282	
657	-0.153	-0.732	0.311	
658	-0.228	-0.821	0.220	
659	-0.231	-0.796	0.231	
660	-0.156	-0.735	0.301	
661	-0.392	-1.049	0.078	
662	-0.259	-0.839	0.200	
663	-0.090	-0.615	0.359	
664	-0.139	-0.669	0.312	
665	0.066	-0.431	0.506	
666	-0.010	-0.506	0.435	
667	-0.184	-0.797	0.303	
668	-0.110	-0.620	0.339	
669	-0.264	-0.827	0.198	
670	-0.207	-0.802	0.252	
671	-0.227	-0.813	0.227	
672	-0.137	-0.684	0.308	
673	-0.204	-0.787	0.246	
674	0.019	-0.441	0.460	
675	-0.182	-0.739	0.266	
676	-0.376	-0.958	0.101	
677	-0.171	-0.708	0.280	
678	-0.197	-0.766	0.251	
679	-0.047	-0.545	0.401	
680	-0.091	-0.631	0.356	
681	-0.256	-0.849	0.197	
682	-0.167	-0.753	0.298	
683	-0.152	-0.748	0.339	
684	-0.287	-0.918	0.167	
685	-0.385	-1.021	0.088	
686	-0.152	-0.722	0.312	
687	-0.433	-1.056	0.054	
688	-0.262	-0.867	0.206	
689	-0.314	-0.959	0.182	
690	-0.185	-0.766	0.284	
691	-0.362	-1.017	0.120	
692	-0.493	-1.148	-0.001	
693	-0.134	-0.661	0.314	
694	-0.397	-1.008	0.084	
695	-0.308	-0.943	0.172	
696	-0.145	-0.707	0.324	
697	-0.113	-0.637	0.333	
698	-0.220	-0.782	0.235	
699	-0.107	-0.651	0.347	
700	-0.274	-0.840	0.187	
701	-0.070	-0.582	0.379	
702	-0.147	-0.694	0.302	
703	-0.036	-0.541	0.407	
704	-0.079	-0.612	0.373	
705	-0.142	-0.682	0.306	
706	-0.042	-0.570	0.406	
707	-0.107	-0.639	0.338	
708	0.003	-0.533	0.461	
709	-0.378	-1.003	0.094	
710	-0.330	-0.957	0.132	
711	-0.265	-0.872	0.188	
712	-0.468	-1.159	0.024	
713	-0.392	-1.101	0.131	
714	-0.120	-0.714	0.379	
715	-0.214	-0.791	0.233	
716	-0.170	-0.755	0.305	
717	-0.201	-0.824	0.297	
718	-0.120	-0.706	0.364	
719	-0.178	-0.754	0.282	
720	-0.193	-0.756	0.257	
721	-0.054	-0.608	0.427	
722	-0.083	-0.610	0.364	
723	-0.128	-0.689	0.320	
724	0.069	-0.406	0.508	
725	0.004	-0.520	0.450	
726	0.077	-0.413	0.518	
727	-0.162	-0.743	0.294	
728	-0.237	-0.855	0.238	
729	-0.080	-0.646	0.409	
730	0.246	-0.229	0.675	
731	-0.252	-0.827	0.203	
732	-0.207	-0.827	0.289	
733	-0.262	-0.874	0.205	
734	-0.150	-0.728	0.327	
735	-0.313	-0.960	0.171	
736	-0.125	-0.701	0.363	
737	-0.298	-0.961	0.203	
738	-0.185	-0.755	0.265	
739	-0.170	-0.745	0.278	
740	-0.273	-0.873	0.183	
741	-0.274	-0.893	0.192	
742	-0.175	-0.773	0.302	
743	-0.144	-0.623	0.286	
744	-0.299	-0.797	0.154	
745	-0.090	-0.581	0.334	
746	-0.035	-0.569	0.401	
747	-0.251	-0.759	0.215	
748	-0.255	-0.772	0.189	
749	-0.095	-0.637	0.366	
750	-0.161	-0.633	0.278	
751	-0.178	-0.686	0.297	
752	-0.165	-0.645	0.282	
753	-0.269	-0.747	0.209	
754	-0.260	-0.742	0.215	
755	-0.143	-0.643	0.313	
756	-0.424	-0.940	0.049	
757	-0.249	-0.783	0.240	
758	0.030	-0.465	0.501	
759	-0.030	-0.508	0.421	
760	-0.057	-0.548	0.421	
761	0.057	-0.385	0.514	
762	-0.209	-0.706	0.224	
763	-0.023	-0.506	0.432	
764	0.142	-0.288	0.592	
765	-0.047	-0.492	0.385	
766	-0.082	-0.574	0.336	
767	-0.062	-0.545	0.384	
768	-0.070	-0.547	0.379	
769	-0.042	-0.495	0.409	
770	-0.066	-0.546	0.418	
771	0.019	-0.425	0.472	
772	-0.339	-0.835	0.136	
773	-0.358	-0.897	0.105	
774	-0.037	-0.483	0.405	
775	-0.060	-0.522	0.397	
776	-0.151	-0.616	0.284	
777	0.029	-0.457	0.493	
778	0.040	-0.396	0.498	
779	0.074	-0.388	0.543	
780	-0.068	-0.546	0.404	
781	0.146	-0.329	0.635	
782	-0.136	-0.595	0.293	
783	-0.086	-0.529	0.358	
784	-0.208	-0.708	0.220	
785	0.122	-0.323	0.573	
786	-0.280	-0.772	0.166	
787	0.176	-0.266	0.621	
788	0.033	-0.440	0.458	
789	-0.220	-0.704	0.212	
790	0.022	-0.417	0.479	
791	-0.251	-0.808	0.187	
792	0.043	-0.390	0.501	
793	0.152	-0.263	0.604	
794	-0.060	-0.534	0.412	
795	0.060	-0.389	0.514	
796	-0.336	-0.834	0.120	
797	-0.376	-0.892	0.079	
798	-0.177	-0.654	0.253	
799	-0.526	-1.055	-0.030	
800	-0.814	-1.397	-0.288	
801	-0.308	-0.813	0.139	
802	-0.187	-0.668	0.240	
803	-0.484	-0.996	0.039	
804	-0.164	-0.631	0.298	
805	-0.434	-0.953	0.098	
806	-0.481	-1.012	0.062	
807	-0.411	-0.926	0.090	
808	-0.422	-0.939	0.094	
809	-0.400	-0.891	0.104	
810	-0.223	-0.705	0.242	
811	-0.124	-0.599	0.312	
812	-0.125	-0.594	0.339	
813	0.028	-0.438	0.482	
