series,po
FAD09A,20
FAD15A,2
FAD23A,3
FBD13B,6
FBD18A,10
FDD08A,2
FDD09A,4
FDD11A,7
FDD12A,9
FDD14A,9
FDD17B,26
FDD21B,6
FDD22B,3
FDD24A,4
FDD25A,5
FDD29A,20
FDD35A,20
MAC01A,20
MAC02A,5
MAC03B,5
MAC06B,10
MAC07B,3
MAC10A,1
MAC15C,15
MAC18B,10
MAC19B,70
MAC24A,10
MCRA03,1
MCRA10,30
MCRA14,3
MCRB03,50
MCRB07,30
MCRB08,20
MCRE10,1
MCRE12,1
MCRE21,50
MCRE22,1
MCRE25,1
MCRE26,1
MCRE27,1
MCRE32,13
MCRE36,3
MCRE44,20
MCSF04,1
MCSF10,1
MCSF11,2
MCSF20,1
MCSF23,1
MCSF31,12
MCSF38,24
MCSF44,1
MCSF46,1
MCSF47,1
MCSF50,1
MCSF51,1
MCSF53,1
MCSF57,2
SFC02A,10
