Proxy,R2 (calibration) - Set1,R2 (validation) - Set1,Reduction of Error - Set1,Coefficient of Efficiency - Set1,Durbin-Watson - Set1,R2 (calibration) - Set2,R2 (validation) - Set2,Reduction of Error - Set2,Coefficient of Efficiency - Set2,Durbin-Watson - Set2,R2 (calibration) - full,R2 (validation) - full,Reduction of Error - full,Coefficient of Efficiency - full,Durbin-Watson - full,Score
rcspq10,0.5724238779767491,0.3340828289975125,0.07358829502674946,0.07276068204977348,2.013254408844593,0.33408282899751485,0.572423877976753,0.4684938898520865,0.4681781573280208,2.0159131750719244,0.46294888211350416,0.46294888211350416,0.3608069311789175,0.3608069311789175,2.06330313722572,4.358604622505527
rcsq10,0.5726091001720486,0.3320710170389931,0.06007691065324561,0.05923722723611402,2.008486702456971,0.3320710170389966,0.5726091001720451,0.4692082930644146,0.4688929849199093,2.0130816409510244,0.4613757153012299,0.4613757153012299,0.3584928548395291,0.3584928548395291,2.061781657847638,4.339812788066019
bw10,0.5952187793345073,0.3315544740406131,0.10123189515055953,0.10042897767566972,2.0369531905015137,0.33155447404061644,0.595218779334508,0.42506035645841245,0.4247188229531996,2.0243876237164375,0.4752352843253215,0.4752352843253215,0.3787462105674524,0.3787462105674524,2.1042063465946605,4.281855227148411
q10,0.5739962014013822,0.3291960235030143,0.03457974697734423,0.03371728558426412,1.9894725300973115,0.3291960235030147,0.5739962014013805,0.45443771580393144,0.4541136334392407,1.9932414485973322,0.4589712943584353,0.4589712943584353,0.3549483948881116,0.3549483948881116,2.056142708658946,4.264214750178062
pbw10,0.5717510779609344,0.33764350352221084,0.07504614248209951,0.07421983187799519,2.026471762282051,0.3376435035222125,0.5717510779609335,0.44474889104357895,0.4444190531907791,2.0243163535517508,0.46347236506633444,0.46347236506633444,0.3615760851935794,0.3615760851935794,2.08755696656391,4.230629817285148
rcsbw10,0.5933493259381407,0.3393879221274216,0.14821601707484022,0.14745507302149463,2.085782814523147,0.3393879221274204,0.5933493259381404,0.43862045036412023,0.4382869720112259,2.073351963952565,0.48081276604495554,0.48081276604495554,0.3868132679641342,0.3868132679641342,2.1352595015069915,4.184516516655577
rcspbw10,0.5932251905455703,0.3381297205537017,0.14692669417511273,0.1461645983008677,2.0916918915385043,0.3381297205537039,0.5932251905455743,0.444287195377837,0.44395708326226757,2.0807716990475886,0.4803388294824651,0.4803388294824651,0.386129609357279,0.386129609357279,2.1391889720002815,4.153677145821375
rcsq80,0.6129000560149764,0.2838774963181692,0.14067670250735864,0.13990902318227583,1.95101940790073,0.2838774963181683,0.612900056014978,0.28456737241407415,0.28414238134625025,1.9491344072271357,0.4714796517075269,0.4714796517075269,0.37328750907113917,0.37328750907113917,2.0045830572630017,4.123526421403311
rcspq80,0.6129683360240996,0.2848459361003428,0.14935312484628882,0.1485931966319518,1.9488728286887376,0.2848459361003375,0.6129683360241018,0.26979269789234817,0.26935893017042767,1.9496447744009955,0.47245491866927053,0.47245491866927053,0.37470711442357296,0.37470711442357296,2.00145070200212,4.121184362150811
pq10,0.5723792284872641,0.34370360341453876,0.03583123242004882,0.03496988904565013,1.9051902611779075,0.34370360341453693,0.5723792284872637,0.45826603651292375,0.4579442282996252,1.9194589570781626,0.4632640466221111,0.4632640466221111,0.3612700547606794,0.3612700547606794,1.9797219138740838,4.0769875171077405
