Proxy,R2 (validation) - Set1,R2 (calibration) - Set1,Reduction of Error - Set1,Coefficient of Efficiency - Set1,Durbin-Watson - Set1,R2 (validation) - Set2,R2 (calibration) - Set2,Reduction of Error - Set2,Coefficient of Efficiency - Set2,Durbin-Watson - Set2,R2 (validation) - full,R2 (calibration) - full,Reduction of Error - full,Coefficient of Efficiency - full,Durbin-Watson - full,Score
rcspq10,0.3340828289975124,0.5724238779767493,0.07358829502674946,0.07276068204977348,2.013254408844593,0.572423877976753,0.33408282899751485,0.4684938898520865,0.4681781573280208,2.0159131750719244,0.4629488821135037,0.4629488821135037,0.3608068779193133,0.3608068779193133,2.063303116484119,4.358604557469521
rcsq10,0.332071017038993,0.5726091001720485,0.06007691065324561,0.05923722723611402,2.008486702456971,0.5726091001720448,0.3320710170389966,0.4692082930644146,0.4688929849199093,2.0130816409510244,0.46137571530122656,0.46137571530122656,0.35849280138710615,0.35849280138710615,2.061781636580123,4.339812723696195
bw10,0.3315544740406131,0.5952187793345074,0.10123189515055953,0.10042897767566972,2.0369531905015137,0.595218779334508,0.33155447404061617,0.42506035645841245,0.4247188229531996,2.0243876237164375,0.4752352843253249,0.4752352843253249,0.37874615880261164,0.37874615880261164,2.104206337443616,4.281855141920824
q10,0.3291960235030141,0.5739962014013821,0.03457974697734423,0.03371728558426412,1.9894725300973115,0.5739962014013802,0.3291960235030147,0.45443771580393144,0.4541136334392407,1.9932414485973322,0.45897129435843503,0.45897129435843503,0.35494834114035434,0.35494834114035434,2.0561426878512665,4.2642146842979045
pbw10,0.33764350352221073,0.5717510779609344,0.07504614248209951,0.07421983187799519,2.026471762282051,0.5717510779609334,0.3376435035222124,0.44474889104357895,0.4444190531907791,2.0243163535517508,0.46347236506633305,0.46347236506633305,0.36157603199806077,0.36157603199806077,2.0875569489770474,4.230629746067833
rcsbw10,0.3393879221274214,0.5933493259381407,0.14821601707484022,0.14745507302149463,2.085782814523147,0.5933493259381407,0.33938792212742064,0.43862045036412023,0.4382869720112259,2.073351963952565,0.4808127660449591,0.4808127660449591,0.38681321687146664,0.38681321687146664,2.1352594929425264,4.184516431599179
rcspbw10,0.3381297205537017,0.5932251905455705,0.14692669417511273,0.1461645983008677,2.0916918915385043,0.5932251905455741,0.33812972055370416,0.444287195377837,0.44395708326226757,2.080771699047588,0.4803388294824638,0.4803388294824638,0.3861295582076383,0.3861295582076383,2.139188964254796,4.153677059013063
rcsq80,0.2838774963181692,0.6129000560149767,0.14067670250735864,0.13990902318227583,1.95101940790073,0.612900056014978,0.2838774963181684,0.28456737241407415,0.28414238134625025,1.9491344072271357,0.47147965170752465,0.47147965170752465,0.37328745685145415,0.37328745685145415,2.0045830597599905,4.123526311969959
rcspq80,0.28484593610034303,0.6129683360240996,0.14935312484628882,0.1485931966319518,1.9488728286887376,0.6129683360241017,0.28484593610033737,0.26979269789234817,0.26935893017042767,1.9496447744009955,0.47245491866926975,0.47245491866926975,0.37470706232217654,0.37470706232217654,2.0014507051611905,4.1211842516298764
pq10,0.34370360341453887,0.5723792284872642,0.03583123242004882,0.03496988904565013,1.9051902611779075,0.5723792284872637,0.34370360341453693,0.45826603651292375,0.4579442282996252,1.9194589570781626,0.46326404662211085,0.46326404662211085,0.3612700015396637,0.3612700015396637,1.979721879675819,4.076987342269179
